JD,Mag,MagErr
2460958.552769,14.184192,0.083207
2460958.559176,14.203748,0.085592
2460958.565588,14.221406,0.074590
2460958.571993,14.259712,0.055652
2460958.593998,14.223471,0.091402
2460958.600404,14.235978,0.080669
2460958.613208,14.219538,0.093271
2460958.619613,14.221147,0.074423
2460958.631427,14.247532,0.077478
2460958.637836,14.194307,0.080067
2460971.460776,14.074054,0.044867
2460971.462883,14.125397,0.056085
2460971.464989,14.161618,0.055391
2460971.467095,14.120634,0.047863
2460971.469201,14.135621,0.060483
2460971.471306,14.126266,0.080747
2460971.473412,14.162657,0.059292
2460971.475518,14.172563,0.044171
2460971.490253,14.197755,0.068240
2460971.492359,14.160380,0.057051
2460971.494464,14.173323,0.061896
2460971.518554,14.079831,0.058889
2460971.520661,14.100157,0.059613
2460971.522766,14.124880,0.071013
2460971.524871,14.146388,0.049004
2460971.526976,14.153008,0.057265
2460971.529080,14.100212,0.077229
2460971.531185,14.113623,0.076272
2460971.533291,14.100351,0.040732
2460971.535395,14.113828,0.051222
2460971.537501,14.039872,0.046403
2460971.541711,14.170793,0.078283
2460971.543816,14.160696,0.098007
2460971.545921,14.190988,0.059944
2460971.548026,14.256621,0.075528
2460971.550131,14.222840,0.051099
2460971.552236,14.245717,0.047900
2460971.554342,14.232436,0.068052
2460971.556447,14.326288,0.058531
2460971.561416,14.164051,0.062271
2460971.563523,14.185498,0.085929
2460971.567734,14.128165,0.048209
2460972.518330,14.054954,0.069130
2460972.522617,14.077330,0.090386
2460972.526882,14.080190,0.086165
2460972.533282,14.113836,0.099175
2460972.539689,14.109273,0.101998
2460972.546088,14.123343,0.108924
2460972.552494,14.187424,0.100442
2460972.561819,14.161144,0.109776
2460972.566111,14.171183,0.114240
2460972.570369,14.184723,0.116516
2460972.576777,14.195130,0.102828
2460972.583182,14.207560,0.095536
2460972.623399,14.114645,0.100367
